enabled,subsystem,target,name,danger,param1_type,param1_description,param2_type,param2_description,param3_type,param3_description,param4_type,param4_description,param5_type,param5_description,param6_type,param6_description,description,note
FALSE,CDH,AOBC,APP_TAC_MTQ_SET_ANTI_INTOXICATION_PARAMS,,float,error_ratio_transient,float,gain_transient,float,error_ratio_stable,float,gain_stable,float,threshold_angle_stable_rad,,,,
FALSE,CDH,AOBC,APP_TAC_RW_SET_GAIN,,uint8_t,0=omega@@ 1=att,uint8_t,0=X@@ 1=Y@@ 2=Z,float,P_gain,float,I_gain,float,D_gain,,,RW三軸制御のゲイン設定,
FALSE,CDH,AOBC,APP_TAC_RW_SAVE_GAIN,,,,,,,,,,,,,,RW三軸制御ゲインを制御に使い始める,
FALSE,CDH,AOBC,APP_UNLOADING_SET_ENABLE,,uint8_t,0 = enable@@ 1 = disable,,,,,,,,,,,アンローディング制御を有効にするかどうかを設定する,
FALSE,CDH,AOBC,APP_UNLOADING_SET_ANGULAR_VELOCITY_THRESHOLD,,uint8_t,0=X@@ 1=Y@@ 2=Z,int16_t,angular_velocity_upper_threshold_rpm,int16_t,angular_velocity_target_rpm,int16_t,angular_velocity_lower_threshold_rpm,,,,,アンローディングの角速度閾値設定,
FALSE,CDH,AOBC,APP_UNLOADING_SET_CONTROL_GAIN,,float,control_gain  (negative value only),,,,,,,,,,,アンローディングのゲイン設定,
FALSE,CDH,AOBC,APP_TARGET_ATT_CALC_SET_MODE,,uint8_t,MANUAL=0@@ CALCULATION_FROM_ORBIT=1@@ INTERPOLATION=2,,,,,,,,,,,目標姿勢計算方法を設定する,
FALSE,CDH,AOBC,APP_TARGET_ATT_CALC_ENABLE,,uint8_t,DISABLE=0@@ ENABLE=1,,,,,,,,,,,計算した目標Quaternionをaocs_managerに反映するか設定する,
FALSE,CDH,AOBC,APP_TAFO_SET_MAIN_TARGET_DIRECTION,,uint8_t,SUN=0@@ SAT_VELOCITY=1@@ EARTH_CENTER=2@@ EARTH_SURFACE=3@@ ORBIT_NORMAL=4@@ GROUND_SPEED=5,float,vec_to_main_tareget_x,float,vec_to_main_tareget_y,float,vec_to_main_tareget_z,,,,,目標方向（main）を設定する,
FALSE,CDH,AOBC,APP_TAFO_SET_SUB_TARGET_DIRECTION,,uint8_t,SUN=0@@ SAT_VELOCITY=1@@ EARTH_CENTER=2@@ EARTH_SURFACE=3@@ ORBIT_NORMAL=4@@ GROUND_SPEED=5,float,vec_to_sub_tareget_x,float,vec_to_sub_tareget_y,float,vec_to_sub_tareget_z,,,,,目標方向（sub）を設定する,
FALSE,CDH,AOBC,APP_TAFO_SET_OFFSET_ANGLE_AND_AXIS,,uint8_t,+X=0@@ +Y=1@@ +Z=2,float,offset_angle_deg,,,,,,,,,目標姿勢に対するオフセット角（-180deg ~ +180deg）を設定する,
FALSE,CDH,AOBC,APP_TAFO_SET_TARGET_LLA,,float,latitude_deg,float,longitude_deg,float,altitude_m,,,,,,,目標地表点の緯度経度高度(-90deg ~ +90deg@@ -180deg ~ +180deg@@ 0m ~)を設定する,
FALSE,CDH,AOBC,APP_QI_SET_NEXT_TARGET_QUATERNION,,uint32_t,attitude_changed_ti,float,q_i2t_vec_0,float,q_i2t_vec_1,float,q_i2t_vec_2,float,q_i2t_scalar,,,目標Quaternionを設定する,
FALSE,CDH,AOBC,APP_QI_SET_PREV_TARGET_QUATERNION,,uint8_t,CURRENT_ATTITUDE=0@@ ARBITRARY_ATTITUDE=1,uint32_t,attitude_changed_ti,float,q_i2t_vec_0,float,q_i2t_vec_1,float,q_i2t_vec_2,float,q_i2t_scalar,内挿計算の始点となるQuaternionを設定する,
FALSE,CDH,AOBC,APP_QI_SET_NEXT_TARGET_QUATERNION_JDAY,,double,attitude_changed_jday,float,q_i2t_vec_0,float,q_i2t_vec_1,float,q_i2t_vec_2,float,q_i2t_scalar,,,目標Quaternionをユリウス日で設定する,
FALSE,CDH,AOBC,APP_QI_RESET_TARGET_QUATERNION,,,,,,,,,,,,,,目標Quaternionをリセットする,
FALSE,CDH,AOBC,APP_TARGET_ATT_CALC_SET_LPF_ANGULAR_VELOCITY,,float,sampling freq Hz,float,cut off freq Hz,,,,,,,,,目標姿勢計算時に計算される角速度に対するLPF設定,
FALSE,CDH,AOBC,APP_TIME_SPACE_CALC_SET_OFFSET_TIME,,float,offset_time [sec],,,,,,,,,,,計算結果を使用する時刻と実行時刻の間のオフセット設定,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_MASS,,float,mass_kg,,,,,,,,,,,衛星質量を設定する,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_INERTIA_TENSOR,,float,Ixx_kgm2,float,Iyy_kgm2,float,Izz_kgm2,float,Ixy_kgm2,float,Ixz_kgm2,float,Iyz_kgm2,衛星慣性テンソルを設定する,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_RMM,,float,RMM_X_Am2,float,RMM_Y_Am2,float,RMM_Z_Am2,,,,,,,衛星残留磁気モーメントを設定する,
