Component,Name,Target,Code,Params,,,,,,,,,,,,,Danger Flag,Is Restricted,Description,Note
AOBC,,,,Num Params,Param1,,Param2,,Param3,,Param4,,Param5,,Param6,,,,,
Comment,,,,,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,,,,
*,EXAMPLE,OBC,,2,uint32_t,address,int32_t,time [ms],,,,,,,,,,,例,引数の説明と単位を書くこと！（例：time [ms]）
*,,,,,,,,,,,,,,,,,,,,
,NOP,OBC,0x0000,0,,,,,,,,,,,,,,restricted,ダミーコマンド,
,TMGR_SET_TIME,OBC,0x0001,1,uint32_t,TI,,,,,,,,,,,,restricted,OBC時刻設定コマンド,
,AM_REGISTER_APP,OBC,0x0002,3,uint32_t,app_id,uint32_t,init_ptr,uint32_t,entry_ptr,,,,,,,,restricted,アプリ登録コマンド,
,AM_INITIALIZE_APP,OBC,0x0003,1,uint32_t,app_id,,,,,,,,,,,,restricted,アプリ初期化コマンド,
,AM_EXECUTE_APP,OBC,0x0004,1,uint32_t,app_id,,,,,,,,,,,,restricted,アプリ実行コマンド,
,AM_SET_PAGE_FOR_TLM,OBC,0x0005,1,uint8_t,,,,,,,,,,,,,restricted,テレメトリ生成用ページ番号設定,
,AM_CLEAR_APP_INFO,OBC,0x0006,0,,,,,,,,,,,,,danger,restricted,アプリ実行時間計測の初期化,
,MM_SET_MODE_LIST,OBC,0x0007,2,uint8_t,Start=0; Initial=1; Bdot=2; SunPoint=3; R3ax-MTQ=4; R3ax-RW=5; F3ax=6,uint16_t,bc_index,,,,,,,,,,restricted,モード定義リスト設定コマンド,
,MM_SET_TRANSITION_TABLE,OBC,0x0008,3,uint8_t,From: Start=0; Initial=1; Bdot=2; SunPoint=3; R3ax-MTQ=4; R3ax-RW=5; F3ax=6,uint8_t,To: Start=0; Initial=1; Bdot=2; SunPoint=3; R3ax-MTQ=4; R3ax-RW=5; F3ax=6,uint16_t,bc_index,,,,,,,,restricted,モード遷移定義テーブル書き換えコマンド,
,MM_START_TRANSITION,OBC,0x0009,1,uint8_t,Start=0; Initial=1; Bdot=2; SunPoint=3; R3ax-MTQ=4; R3ax-RW=5; F3ax=6,,,,,,,,,,,,restricted,モード遷移開始コマンド,
,MM_FINISH_TRANSITION,OBC,0x000A,0,,,,,,,,,,,,,,restricted,モード遷移終了通知コマンド,
