subsystem,name,bcid,type,option,ti,cmd,args,description,note
AOCS,BC_MTQ_UPDATE,,,,,,,,
,,,app,,0,AR_APP_MAGNETIC_EXCLUSIVE_CONTROL_TIMER,,,
,,,app,,1,AR_APP_AOCS_MTQ_SEIREN_CONTROLLER,,,
