subsystem,name,bcid,type,option,ti,cmd,args,description,note
AOCS,BC_START_UP_TO_INITIAL,,,,,,,,
,,,deploy,TLCD_ID_DEPLOY_TLM,10,BC_HK_CYCLIC_TLM,,HK出力開始,
