TRUE,32,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,OBC.TLC_GS.NEXT_TIME,uint32_t,,(PL_is_empty(&(PH_tl_cmd_list[TLCD_ID_FROM_GS])) ? 0 : CCP_get_ti((const CommonCmdPacket*)(PL_get_head(&(PH_tl_cmd_list[TLCD_ID_FROM_GS]))->packet))),NONE,,,,,,,,次TL0コマンド実行時刻,変数指定が大変なことに…,
,OBC.TLC_GS.NEXT_ID,uint16_t,,(uint16_t)(PL_is_empty(&(PH_tl_cmd_list[TLCD_ID_FROM_GS])) ? 0 : CCP_get_id((const CommonCmdPacket*)(PL_get_head(&(PH_tl_cmd_list[TLCD_ID_FROM_GS]))->packet))),NONE,,,,,,,,次TL0コマンドID,変数指定が大変なことに…,
,OBC.TLC_BC.COUNTER,uint8_t,,(uint8_t)(PH_tl_cmd_list[TLCD_ID_DEPLOY_BC].executed_nodes_),NONE,,,,,,,,TL1コマンドカウンタ,,
,OBC.TLC_BC.QUEUED,uint8_t,,(uint8_t)(PH_tl_cmd_list[TLCD_ID_DEPLOY_BC].active_nodes_),NONE,,,,,,,,,,
,OBC.TLC_TLM.COUNTER,uint8_t,,(uint8_t)(PH_tl_cmd_list[TLCD_ID_DEPLOY_TLM].executed_nodes_),NONE,,,,,,,,TL1コマンドカウンタ,,
,OBC.TLC_TLM.QUEUED,uint8_t,,(uint8_t)(PH_tl_cmd_list[TLCD_ID_DEPLOY_TLM].active_nodes_),NONE,,,,,,,,,,
,OBC.TLC_GS.SOE_FLAG,_uint8_t,1,(uint8_t)(((uint8_t)timeline_command_dispatcher->dispatcher[TLCD_ID_FROM_GS].stop_on_error << 7 & 0x80) | ((uint8_t)timeline_command_dispatcher->dispatcher[TLCD_ID_FROM_GS].lockout << 6 & 0x40) | ((uint8_t)timeline_command_dispatcher->dispatcher[TLCD_ID_DEPLOY_BC].stop_on_error << 5 & 0x20) | ((uint8_t)timeline_command_dispatcher->dispatcher[TLCD_ID_DEPLOY_BC].lockout << 4 & 0x10) | ((uint8_t)timeline_command_dispatcher->dispatcher[TLCD_ID_DEPLOY_TLM].stop_on_error << 3 & 0x08) | ((uint8_t)timeline_command_dispatcher->dispatcher[TLCD_ID_DEPLOY_TLM].lockout << 2 & 0x04) | (0 << 2 & 0x02) | (0 << 2 & 0x01) ),STATUS,,,,,,,"0=DIS, 1=ENA:G",,,
,OBC.TLC_GS.LOCKOUT_FLAG,,1,,STATUS,,,,,,,"0=NO:G, 1=YES:R",,,
,OBC.TLC_BC.SOE_FLAG,,1,,STATUS,,,,,,,"0=DIS, 1=ENA:G",,,
,OBC.TLC_BC.LOCKOUT_FLAG,,1,,STATUS,,,,,,,"0=NO:G, 1=YES:R",,,
,OBC.TLC_TLM.SOE_FLAG,,1,,STATUS,,,,,,,"0=DIS, 1=ENA:G",,,
