TRUE,42,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
#,TARGET16_W,float,,(float)(quaternion_interpolator->target_list[16].quaternion_target_i2t.scalar_part),NONE,,,,,,,,目標Quaternion I2T W,,
#,TARGET17_TI,uint32_t,,(uint32_t)(quaternion_interpolator->target_list[17].attitude_changed_ti),NONE,,,,,,,,姿勢変更完了予定時刻,,
#,TARGET17_X,float,,(float)(quaternion_interpolator->target_list[17].quaternion_target_i2t.vector_part[0]),NONE,,,,,,,,目標Quaternion I2T X,,
#,TARGET17_Y,float,,(float)(quaternion_interpolator->target_list[17].quaternion_target_i2t.vector_part[1]),NONE,,,,,,,,目標Quaternion I2T Y,,
#,TARGET17_Z,float,,(float)(quaternion_interpolator->target_list[7].quaternion_target_i2t.vector_part[2]),NONE,,,,,,,,目標Quaternion I2T Z,,
#,TARGET17_W,float,,(float)(quaternion_interpolator->target_list[17].quaternion_target_i2t.scalar_part),NONE,,,,,,,,目標Quaternion I2T W,,
#,TARGET18_TI,uint32_t,,(uint32_t)(quaternion_interpolator->target_list[18].attitude_changed_ti),NONE,,,,,,,,姿勢変更完了予定時刻,,
#,TARGET18_X,float,,(float)(quaternion_interpolator->target_list[18].quaternion_target_i2t.vector_part[0]),NONE,,,,,,,,目標Quaternion I2T X,,
#,TARGET18_Y,float,,(float)(quaternion_interpolator->target_list[18].quaternion_target_i2t.vector_part[1]),NONE,,,,,,,,目標Quaternion I2T Y,,
#,TARGET18_Z,float,,(float)(quaternion_interpolator->target_list[18].quaternion_target_i2t.vector_part[2]),NONE,,,,,,,,目標Quaternion I2T Z,,
#,TARGET18_W,float,,(float)(quaternion_interpolator->target_list[18].quaternion_target_i2t.scalar_part),NONE,,,,,,,,目標Quaternion I2T W,,
#,TARGET19_TI,uint32_t,,(uint32_t)(quaternion_interpolator->target_list[19].attitude_changed_ti),NONE,,,,,,,,姿勢変更完了予定時刻,,
#,TARGET19_X,float,,(float)(quaternion_interpolator->target_list[19].quaternion_target_i2t.vector_part[0]),NONE,,,,,,,,目標Quaternion I2T X,,
#,TARGET19_Y,float,,(float)(quaternion_interpolator->target_list[19].quaternion_target_i2t.vector_part[1]),NONE,,,,,,,,目標Quaternion I2T Y,,
#,TARGET19_Z,float,,(float)(quaternion_interpolator->target_list[19].quaternion_target_i2t.vector_part[2]),NONE,,,,,,,,目標Quaternion I2T Z,,
#,TARGET19_W,float,,(float)(quaternion_interpolator->target_list[19].quaternion_target_i2t.scalar_part),NONE,,,,,,,,目標Quaternion I2T W,,
