TRUE,40,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
#,MPU_GYRO.Z_SF_COEFF_0,float,,(float)(di_mpu9250[MPU9250_IDX_ON_AOBC]->gyro_scale_factor_compo[2].coefficients_[0]),NONE,,,,,,,,MPUジャイロSFZ軸温度補正係数0次,,
#,MPU_GYRO.Z_SF_COEFF_1,float,,(float)(di_mpu9250[MPU9250_IDX_ON_AOBC]->gyro_scale_factor_compo[2].coefficients_[1]),NONE,,,,,,,,MPUジャイロSFZ軸温度補正係数1次,,
#,STIM_GYRO.X_BIAS_RANGE_LOW,float,,(float)(di_stim210[STIM210_IDX_IN_UNIT]->bias_compo_rad_s[0].range_low_),NONE,,,,,,,,STIMジャイロバイアスX軸温度補正範囲下限,,
#,STIM_GYRO.X_BIAS_RANGE_HIGH,float,,(float)(di_stim210[STIM210_IDX_IN_UNIT]->bias_compo_rad_s[0].range_high_),NONE,,,,,,,,STIMジャイロバイアスX軸温度補正範囲上限,,
#,STIM_GYRO.X_BIAS_COEFF_0,float,,(float)(di_stim210[STIM210_IDX_IN_UNIT]->bias_compo_rad_s[0].coefficients_[0]),NONE,,,,,,,,STIMジャイロバイアスX軸温度補正係数0次,,
#,STIM_GYRO.X_BIAS_COEFF_1,float,,(float)(di_stim210[STIM210_IDX_IN_UNIT]->bias_compo_rad_s[0].coefficients_[1]),NONE,,,,,,,,STIMジャイロバイアスX軸温度補正係数1次,,
#,STIM_GYRO.Y_BIAS_RANGE_LOW,float,,(float)(di_stim210[STIM210_IDX_IN_UNIT]->bias_compo_rad_s[1].range_low_),NONE,,,,,,,,STIMジャイロバイアスY軸温度補正範囲下限,,
#,STIM_GYRO.Y_BIAS_RANGE_HIGH,float,,(float)(di_stim210[STIM210_IDX_IN_UNIT]->bias_compo_rad_s[1].range_high_),NONE,,,,,,,,STIMジャイロバイアスY軸温度補正範囲上限,,
#,STIM_GYRO.Y_BIAS_COEFF_0,float,,(float)(di_stim210[STIM210_IDX_IN_UNIT]->bias_compo_rad_s[1].coefficients_[0]),NONE,,,,,,,,STIMジャイロバイアスY軸温度補正係数0次,,
#,STIM_GYRO.Y_BIAS_COEFF_1,float,,(float)(di_stim210[STIM210_IDX_IN_UNIT]->bias_compo_rad_s[1].coefficients_[1]),NONE,,,,,,,,STIMジャイロバイアスY軸温度補正係数1次,,
