TRUE,35,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
#,NANOSSOC_D60.IDX_3.SUN_VEC_BODY_X,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_3]->info.sun_vec_body[0]),NONE,,,,,,,,サンセンサIDX 3で計測した太陽ベクトル機体座標系X,,
#,NANOSSOC_D60.IDX_3.SUN_VEC_BODY_Y,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_3]->info.sun_vec_body[1]),NONE,,,,,,,,サンセンサIDX 3で計測した太陽ベクトル機体座標系Y,,
#,NANOSSOC_D60.IDX_3.SUN_VEC_BODY_Z,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_3]->info.sun_vec_body[2]),NONE,,,,,,,,サンセンサIDX 3で計測した太陽ベクトル機体座標系Z,,
#,NANOSSOC_D60.IDX_4.OBSERVED_ANGLE.ALPHA_deg,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_4]->info.sun_angle_compo_deg[0]),NONE,,,,,,,,サンセンサIDX 4で計測した太陽角度α[deg],,
#,NANOSSOC_D60.IDX_4.OBSERVED_ANGLE.BETA_deg,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_4]->info.sun_angle_compo_deg[1]),NONE,,,,,,,,サンセンサIDX 4で計測した太陽角度β[deg],,
#,NANOSSOC_D60.IDX_4.SUN_VEC_BODY_X,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_4]->info.sun_vec_body[0]),NONE,,,,,,,,サンセンサIDX 4で計測した太陽ベクトル機体座標系X,,
#,NANOSSOC_D60.IDX_4.SUN_VEC_BODY_Y,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_4]->info.sun_vec_body[1]),NONE,,,,,,,,サンセンサIDX 4で計測した太陽ベクトル機体座標系Y,,
#,NANOSSOC_D60.IDX_4.SUN_VEC_BODY_Z,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_4]->info.sun_vec_body[2]),NONE,,,,,,,,サンセンサIDX 4で計測した太陽ベクトル機体座標系Z,,
#,NANOSSOC_D60.IDX_5.OBSERVED_ANGLE.ALPHA_deg,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_5]->info.sun_angle_compo_deg[0]),NONE,,,,,,,,サンセンサIDX 5で計測した太陽角度α[deg],,
#,NANOSSOC_D60.IDX_5.OBSERVED_ANGLE.BETA_deg,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_5]->info.sun_angle_compo_deg[1]),NONE,,,,,,,,サンセンサIDX 5で計測した太陽角度β[deg],,
#,NANOSSOC_D60.IDX_5.SUN_VEC_BODY_X,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_5]->info.sun_vec_body[0]),NONE,,,,,,,,サンセンサIDX 5で計測した太陽ベクトル機体座標系X,,
