TRUE,50,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,TEMPERATURE.THRESHOLD.GPSR_UPPER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_GPSR].upper_degC,NONE,,,,,,,,GPSR温度上限,,
,TEMPERATURE.THRESHOLD.GPSR_LOWER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_GPSR].lower_degC,NONE,,,,,,,,GPSR温度下限,,
,MODE_MANAGER.IS_AUTO_MODE_TRANSITION_ENABLED,uint8_t,,(uint8_t)(aocs_mode_manager->is_enabled_auto_mode_transition),STATUS,,,,,,,"0=disable, 1=enable",自動モード遷移Enableフラグ,,
,MODE_MANAGER.ANG_VEL_CONV_LIMIT_rad_s,float,,(float)(aocs_mode_manager->ang_vel_conv_limit_rad_s),NONE,,,,,,,,角速度収束判定角速度閾値,,
,MODE_MANAGER.ANG_VEL_CONV_TIME_LIMIT_s,float,,(float)(aocs_mode_manager->ang_vel_conv_time_limit_s),NONE,,,,,,,,角速度収束判定時間閾値,,
,MODE_MANAGER.ANG_VEL_NORM_INCREASE_LIMIT_rad_s,float,,(float)(aocs_mode_manager->ang_vel_norm_increase_limit_rad_s),NONE,,,,,,,,角速度ノルム上昇閾値,,
,MODE_MANAGER.ANG_VEL_ANOMALY_DETECTION_PERIOD_s,float,,(float)(aocs_mode_manager->ang_vel_anomaly_detection_period_s),NONE,,,,,,,,アノマリ検知周期,,
,MODE_MANAGER.SUN_ANG_DIV_LIMIT_rad,float,,(float)(aocs_mode_manager->sun_angle_div_limit_rad),NONE,,,,,,,,太陽補足発散判定角度閾値,,
,MODE_MANAGER.SUN_ANG_DIV_TIME_LIMIT_s,float,,(float)(aocs_mode_manager->sun_angle_div_time_limit_s),NONE,,,,,,,,太陽補足発散判定時間閾値,,
,MODE_MANAGER.3AXIS_ANG_DIV_LIMIT_rad,float,,(float)(aocs_mode_manager->three_axis_div_limit_rad),NONE,,,,,,,,三軸制御発散判定角度閾値,,
,MODE_MANAGER.3AXIS_DIV_TIME_LIMIT_s,float,,(float)(aocs_mode_manager->three_axis_div_time_limit_s),NONE,,,,,,,,三軸制御発散判定時間閾値,,
,MODE_MANAGER.SS_INVISIBLE_TIME_LIMIT_s,float,,(float)(aocs_mode_manager->sun_invisible_time_limit_s),NONE,,,,,,,,太陽センサ非可視時間閾値,,
,MODE_MANAGER.STT_INVISIBLE_TIME_LIMIT_s,float,,(float)(aocs_mode_manager->stt_invisible_time_limit_s),NONE,,,,,,,,STT非可視時間閾値,,
